Transaction Number,Business Date,PLU/Barcode,Item,Quantity,Amount incl GST,Tax Amount,Tax Name,Tax Rate,Sales Type,Shift,Employee,Tender,Transaction Time,
"199063,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""72901"",""Employee, 9"",""Card"",""01/06/2022 05:03:03 AM"","
"199080,""01/06/2022"",""0000001447969"",""KOREAN BURGER"",""1"",""8.00"",""0.59"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 06:01:37 AM"","
"199087,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 06:38:47 AM"","
"199100,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Cash PLN,Cash PLN"",""01/06/2022 07:01:29 AM"","
"199103,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 07:07:55 AM"","
"199107,""01/06/2022"",""2000033114161"",""GRILLED SANDWICH TUNA"",""1"",""11.90"",""0.88"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Cash PLN,Cash PLN"",""01/06/2022 07:23:41 AM"","
"199107,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Cash PLN,Cash PLN"",""01/06/2022 07:23:41 AM"","
"199115,""01/06/2022"",""2000033113959"",""BAQUETTE AMERICAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 07:35:34 AM"","
"199115,""01/06/2022"",""0000001004097"",""LATTE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 07:35:34 AM"","
"199123,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 07:46:42 AM"","
"199136,""01/06/2022"",""0000001004278"",""BLACK COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 08:08:21 AM"","
"199136,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""9.99"",""1.87"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 08:08:21 AM"","
"199162,""01/06/2022"",""2000033113973"",""BAQUETTE NORWEGIAN"",""1"",""14.90"",""1.10"",""VAT 8%"",""8.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 08:50:42 AM"","
"199162,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 08:50:42 AM"","
"199166,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 08:54:29 AM"","
"199171,""01/06/2022"",""0000001004103"",""WHITE COFFEE"",""1"",""7.99"",""1.49"",""VAT 23%"",""23.00%"",""Regular Sales"",""73001"",""Employee, 2"",""Card"",""01/06/2022 09:05:22 AM"","
